Year,Inflow,Stock,Outflow
2020,21.72120750887892,21.72120750887892,0.0
2021,22.051592873091355,43.77249885240788,0.0003015295623948658
2022,22.054129487918342,65.82379019593682,0.0028381443893964733
2023,22.062957533639576,87.87508153946578,0.011666190110617654
2024,22.084335711375036,109.92637288299474,0.03304436784607733
2025,22.126746749464456,131.9776642265237,0.07545540593549803
2026,73.08207733264837,204.91017206200019,0.1495694971718837
2027,73.20133971326828,277.8426798974766,0.2688318777918511
2028,73.38484207783634,350.7751877329531,0.4523342423598509
2029,73.65803581913559,423.7076955684296,0.7255279836591116
2030,74.05231854301458,496.64020340390607,1.1198107075380999
2031,159.22061277899826,654.1890515237799,1.671764659124437
2032,159.9720399832298,811.7378996436536,2.4231918633561027
2033,160.9735650045216,969.2867477635273,3.424716884647893
2034,162.28445608578596,1126.835595883401,4.735607965912147
2035,163.9704575742688,1284.384444003275,6.421609454394991
2036,284.74862786122446,1560.5808682416907,8.552203622808614
2037,287.39548931536655,1836.7772924801066,11.199065076950713
2038,290.6361983983158,2112.9737167185226,14.439774159899741
2039,294.5530920511455,2389.1701409569387,18.356667812729437
2040,299.22991563469384,2665.3665651953543,23.033491396278247
2041,495.19955418923973,3132.014205986834,28.551913397759993
2042,501.6383123679764,3598.661846778314,34.99067157649624
2043,509.08133159708825,4065.309487569794,42.43369080560852
2044,517.6182713270487,4531.957128361274,50.97063053556845
2045,527.3414401213504,4998.604769152754,60.69379932987065
2046,576.9202370667813,5503.830542871682,71.6944633478529
2047,589.2849300873038,6009.056316590611,84.05915636837534
2048,603.0931373508847,6514.28209030954,97.86736363195537
2049,618.4131924941069,7019.507864028468,113.18741877517851
2050,635.297437522106,7524.733637747397,130.0716638031776
